
:=========== Few-shot Seg. with Matcher ===========
|             datapath: datasets                
|            benchmark: pascal_part             
|                  bsz: 1                       
|              nworker: 0                       
|                 fold: 2                       
|                nshot: 1                       
|             img_size: 518                     
| use_original_imgsize: False                   
|             log_root: output/pascal/fold2     
|            visualize: 0                       
|       dinov2_weights: models/dinov2_vitl14_pretrain.pth
|          sam_weights: models/sam_vit_h_4b8939.pth
|      points_per_side: 64                      
|      pred_iou_thresh: 0.88                    
| sel_stability_score_thresh: 0.0                     
| stability_score_thresh: 0.95                    
|           iou_filter: 0.0                     
|       box_nms_thresh: 1.0                     
|         output_layer: 3                       
| dense_multimask_output: 0                       
|       use_dense_mask: 0                       
|     multimask_output: 0                       
|          num_centers: 8                       
|              use_box: True                    
| use_points_or_centers: True                    
|         sample_range: (3, 6)                  
| max_sample_iterations: 128                     
|                alpha: 0.5                     
|                 beta: 0.5                     
|                  exp: 0.0                     
|           emd_filter: 0.0                     
|        purity_filter: 0.0                     
|      coverage_filter: 0.3                     
|     use_score_filter: False                   
| deep_score_norm_filter: 0.1                     
|    deep_score_filter: 0.33                    
| topk_scores_threshold: 0.7                     
|     num_merging_mask: 5                       
:================================================

# available GPUs: 2
using MLP layer as FFN
Pretrained weights found at models/dinov2_vitl14_pretrain.pth and loaded with msg: <All keys matched successfully>
[Batch: 0031/2500] mIoU: 36.60  |  FB-IoU: 60.75 |  0: 22.00    |  1: 58.17    |  2: 41.73    |  3: 16.02    |  4: 45.09   
[Batch: 0032/2500] mIoU: 36.80  |  FB-IoU: 61.15 |  0: 22.00    |  1: 59.15    |  2: 41.73    |  3: 16.02    |  4: 45.09   
[Batch: 0033/2500] mIoU: 37.75  |  FB-IoU: 61.94 |  0: 22.00    |  1: 59.15    |  2: 46.49    |  3: 16.02    |  4: 45.09   
[Batch: 0034/2500] mIoU: 37.70  |  FB-IoU: 62.09 |  0: 22.00    |  1: 59.15    |  2: 46.49    |  3: 15.75    |  4: 45.09   
[Batch: 0035/2500] mIoU: 37.28  |  FB-IoU: 61.69 |  0: 22.00    |  1: 59.15    |  2: 46.49    |  3: 15.75    |  4: 43.03   
[Batch: 0036/2500] mIoU: 37.56  |  FB-IoU: 61.74 |  0: 23.39    |  1: 59.15    |  2: 46.49    |  3: 15.75    |  4: 43.03   
[Batch: 0037/2500] mIoU: 37.82  |  FB-IoU: 62.09 |  0: 23.39    |  1: 60.42    |  2: 46.49    |  3: 15.75    |  4: 43.03   
[Batch: 0038/2500] mIoU: 38.54  |  FB-IoU: 62.71 |  0: 23.39    |  1: 60.42    |  2: 50.11    |  3: 15.75    |  4: 43.03   
[Batch: 0039/2500] mIoU: 38.74  |  FB-IoU: 62.85 |  0: 23.39    |  1: 60.42    |  2: 50.11    |  3: 16.74    |  4: 43.03   
[Batch: 0040/2500] mIoU: 38.13  |  FB-IoU: 62.31 |  0: 23.39    |  1: 60.42    |  2: 50.11    |  3: 16.74    |  4: 40.00   
