
:=========== Few-shot Seg. with Matcher ===========
|             datapath: datasets                
|            benchmark: coco                    
|                  bsz: 1                       
|              nworker: 0                       
|                 fold: 2                       
|                nshot: 5                       
|             img_size: 518                     
| use_original_imgsize: False                   
|             log_root: output/coco_5shot/fold2 
|            visualize: 0                       
|       dinov2_weights: models/dinov2_vitl14_pretrain.pth
|          sam_weights: models/sam_vit_h_4b8939.pth
|      points_per_side: 64                      
|      pred_iou_thresh: 0.88                    
| sel_stability_score_thresh: 0.9                     
| stability_score_thresh: 0.95                    
|           iou_filter: 0.85                    
|       box_nms_thresh: 0.65                    
|         output_layer: 3                       
| dense_multimask_output: 0                       
|       use_dense_mask: 1                       
|     multimask_output: 1                       
|          num_centers: 8                       
|              use_box: False                   
| use_points_or_centers: True                    
|         sample_range: (1, 6)                  
| max_sample_iterations: 64                      
|                alpha: 1.0                     
|                 beta: 0.0                     
|                  exp: 0.0                     
|           emd_filter: 0.0                     
|        purity_filter: 0.02                    
|      coverage_filter: 0.0                     
|     use_score_filter: True                    
| deep_score_norm_filter: 0.1                     
|    deep_score_filter: 0.33                    
| topk_scores_threshold: 0.0                     
|     num_merging_mask: 5                       
:================================================

# available GPUs: 1
using MLP layer as FFN
Pretrained weights found at models/dinov2_vitl14_pretrain.pth and loaded with msg: <All keys matched successfully>
[Batch: 0012/1000] mIoU: 32.59  |  FB-IoU: 82.95 |  0:  0.00    |  1: 85.51    |  2:  0.00    |  3:  0.00    |  4:  0.00    |  5: 89.66    |  6:  0.00    |  7:  0.00    |  8: 76.50    |  9: 93.56    |  10: 51.37    |  11:  0.00    |  12:  0.00    |  13:  0.00    |  14:  4.05    |  15: 95.48    |  16: 89.92    |  17:  0.00    |  18: 65.82    |  19:  0.00   
[Batch: 0013/1000] mIoU: 33.50  |  FB-IoU: 84.77 |  0:  0.00    |  1: 85.51    |  2:  0.00    |  3:  0.00    |  4:  0.00    |  5: 89.66    |  6:  0.00    |  7:  0.00    |  8: 76.50    |  9: 93.56    |  10: 51.37    |  11:  0.00    |  12:  0.00    |  13:  0.00    |  14:  4.05    |  15: 95.48    |  16: 89.92    |  17:  0.00    |  18: 84.04    |  19:  0.00   
[Batch: 0014/1000] mIoU: 32.92  |  FB-IoU: 83.67 |  0:  0.00    |  1: 73.87    |  2:  0.00    |  3:  0.00    |  4:  0.00    |  5: 89.66    |  6:  0.00    |  7:  0.00    |  8: 76.50    |  9: 93.56    |  10: 51.37    |  11:  0.00    |  12:  0.00    |  13:  0.00    |  14:  4.05    |  15: 95.48    |  16: 89.92    |  17:  0.00    |  18: 84.04    |  19:  0.00   
[Batch: 0015/1000] mIoU: 36.83  |  FB-IoU: 83.85 |  0:  0.00    |  1: 73.87    |  2:  0.00    |  3:  0.00    |  4:  0.00    |  5: 89.66    |  6:  0.00    |  7: 78.18    |  8: 76.50    |  9: 93.56    |  10: 51.37    |  11:  0.00    |  12:  0.00    |  13:  0.00    |  14:  4.05    |  15: 95.48    |  16: 89.92    |  17:  0.00    |  18: 84.04    |  19:  0.00   
[Batch: 0016/1000] mIoU: 36.59  |  FB-IoU: 83.90 |  0:  0.00    |  1: 73.87    |  2:  0.00    |  3:  0.00    |  4:  0.00    |  5: 89.66    |  6:  0.00    |  7: 73.38    |  8: 76.50    |  9: 93.56    |  10: 51.37    |  11:  0.00    |  12:  0.00    |  13:  0.00    |  14:  4.05    |  15: 95.48    |  16: 89.92    |  17:  0.00    |  18: 84.04    |  19:  0.00   
[Batch: 0017/1000] mIoU: 35.57  |  FB-IoU: 83.15 |  0:  0.00    |  1: 73.87    |  2:  0.00    |  3:  0.00    |  4:  0.00    |  5: 89.66    |  6:  0.00    |  7: 73.38    |  8: 76.50    |  9: 93.56    |  10: 51.37    |  11:  0.00    |  12:  0.00    |  13:  0.00    |  14:  4.05    |  15: 75.02    |  16: 89.92    |  17:  0.00    |  18: 84.04    |  19:  0.00   
[Batch: 0018/1000] mIoU: 35.64  |  FB-IoU: 83.46 |  0:  0.00    |  1: 73.87    |  2:  0.00    |  3:  0.00    |  4:  0.00    |  5: 89.66    |  6:  0.00    |  7: 73.38    |  8: 76.50    |  9: 93.56    |  10: 51.37    |  11:  0.00    |  12:  0.00    |  13:  0.00    |  14:  4.05    |  15: 76.52    |  16: 89.92    |  17:  0.00    |  18: 84.04    |  19:  0.00   
[Batch: 0019/1000] mIoU: 38.09  |  FB-IoU: 83.41 |  0:  0.00    |  1: 73.87    |  2:  0.00    |  3:  0.00    |  4:  0.00    |  5: 89.66    |  6:  0.00    |  7: 73.38    |  8: 76.50    |  9: 93.56    |  10: 51.37    |  11:  0.00    |  12:  0.00    |  13:  0.00    |  14:  4.05    |  15: 76.52    |  16: 89.92    |  17: 48.94    |  18: 84.04    |  19:  0.00   
[Batch: 0020/1000] mIoU: 38.96  |  FB-IoU: 82.08 |  0:  0.00    |  1: 73.87    |  2:  0.00    |  3:  0.00    |  4: 17.31    |  5: 89.66    |  6:  0.00    |  7: 73.38    |  8: 76.50    |  9: 93.56    |  10: 51.37    |  11:  0.00    |  12:  0.00    |  13:  0.00    |  14:  4.05    |  15: 76.52    |  16: 89.92    |  17: 48.94    |  18: 84.04    |  19:  0.00   
[Batch: 0021/1000] mIoU: 43.81  |  FB-IoU: 83.85 |  0:  0.00    |  1: 73.87    |  2: 97.15    |  3:  0.00    |  4: 17.31    |  5: 89.66    |  6:  0.00    |  7: 73.38    |  8: 76.50    |  9: 93.56    |  10: 51.37    |  11:  0.00    |  12:  0.00    |  13:  0.00    |  14:  4.05    |  15: 76.52    |  16: 89.92    |  17: 48.94    |  18: 84.04    |  19:  0.00   
