
:=========== Few-shot Seg. with Matcher ===========
|             datapath: datasets                
|            benchmark: paco_part               
|                  bsz: 1                       
|              nworker: 0                       
|                 fold: 2                       
|                nshot: 1                       
|             img_size: 518                     
| use_original_imgsize: False                   
|             log_root: output/paco/2           
|            visualize: 0                       
|       dinov2_weights: models/dinov2_vitl14_pretrain.pth
|          sam_weights: models/sam_vit_h_4b8939.pth
|      points_per_side: 64                      
|      pred_iou_thresh: 0.88                    
| sel_stability_score_thresh: 0.0                     
| stability_score_thresh: 0.95                    
|           iou_filter: 0.0                     
|       box_nms_thresh: 1.0                     
|         output_layer: 3                       
| dense_multimask_output: 0                       
|       use_dense_mask: 0                       
|     multimask_output: 0                       
|          num_centers: 8                       
|              use_box: True                    
| use_points_or_centers: True                    
|         sample_range: (3, 6)                  
| max_sample_iterations: 128                     
|                alpha: 0.5                     
|                 beta: 0.5                     
|                  exp: 0.0                     
|           emd_filter: 0.0                     
|        purity_filter: 0.0                     
|      coverage_filter: 0.3                     
|     use_score_filter: False                   
| deep_score_norm_filter: 0.1                     
|    deep_score_filter: 0.33                    
| topk_scores_threshold: 0.7                     
|     num_merging_mask: 5                       
:================================================

# available GPUs: 1
using MLP layer as FFN
Pretrained weights found at models/dinov2_vitl14_pretrain.pth and loaded with msg: <All keys matched successfully>
[Batch: 0012/2500] mIoU:  5.52  |  FB-IoU: 44.08 |  0:  0.00    |  1:  0.00    |  2: 19.48    |  3:  0.00    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8:  0.00    |  9:  0.00    |  10:  0.00    |  11:  0.00    |  12:  0.00    |  13: 24.12    |  14: 83.25    |  15: 35.26    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0013/2500] mIoU:  5.62  |  FB-IoU: 44.65 |  0:  0.00    |  1:  0.00    |  2: 19.48    |  3:  0.00    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8:  0.00    |  9:  0.00    |  10:  0.00    |  11:  0.00    |  12:  0.00    |  13: 24.12    |  14: 83.25    |  15: 35.26    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0014/2500] mIoU:  5.96  |  FB-IoU: 43.66 |  0:  0.00    |  1:  0.00    |  2: 19.48    |  3:  0.00    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8:  0.00    |  9:  0.00    |  10:  0.00    |  11: 22.63    |  12:  0.00    |  13: 24.12    |  14: 83.25    |  15: 35.26    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0015/2500] mIoU:  6.27  |  FB-IoU: 42.96 |  0:  0.00    |  1:  0.00    |  2: 19.48    |  3:  0.00    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8:  0.00    |  9:  0.00    |  10:  0.00    |  11: 22.63    |  12:  0.00    |  13: 24.12    |  14: 83.25    |  15: 35.26    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0016/2500] mIoU:  6.53  |  FB-IoU: 42.97 |  0:  0.00    |  1:  0.00    |  2: 19.48    |  3: 17.30    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8:  0.00    |  9:  0.00    |  10:  0.00    |  11: 22.63    |  12:  0.00    |  13: 24.12    |  14: 83.25    |  15: 35.26    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0017/2500] mIoU:  6.96  |  FB-IoU: 43.66 |  0:  0.00    |  1:  0.00    |  2: 19.48    |  3: 17.30    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8:  0.00    |  9:  0.00    |  10:  0.00    |  11: 22.63    |  12:  0.00    |  13: 24.12    |  14: 83.25    |  15: 35.26    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0018/2500] mIoU:  7.79  |  FB-IoU: 44.81 |  0:  0.00    |  1:  0.00    |  2: 19.48    |  3: 17.30    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8:  0.00    |  9:  0.00    |  10:  0.00    |  11: 22.63    |  12:  0.00    |  13: 24.12    |  14: 83.25    |  15: 35.26    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0019/2500] mIoU:  7.11  |  FB-IoU: 44.92 |  0:  0.00    |  1:  0.00    |  2: 19.48    |  3: 17.30    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8:  0.00    |  9:  0.00    |  10:  0.00    |  11: 22.63    |  12:  0.00    |  13: 24.12    |  14: 38.04    |  15: 35.26    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0020/2500] mIoU:  7.21  |  FB-IoU: 45.92 |  0:  0.00    |  1:  0.00    |  2: 19.48    |  3: 17.30    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8:  0.00    |  9:  0.00    |  10:  0.00    |  11: 22.63    |  12:  0.00    |  13: 24.12    |  14: 38.04    |  15: 42.01    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0021/2500] mIoU:  7.33  |  FB-IoU: 46.34 |  0:  0.00    |  1:  0.00    |  2: 19.48    |  3: 17.30    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8:  0.00    |  9:  0.00    |  10:  0.00    |  11: 22.63    |  12:  0.00    |  13: 24.12    |  14: 38.04    |  15: 42.01    |  16:  0.00    |  17:  7.72    |  18:  0.00    |  19:  0.00   
[Batch: 0022/2500] mIoU:  7.55  |  FB-IoU: 47.19 |  0:  0.00    |  1:  0.00    |  2: 19.48    |  3: 17.30    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8:  0.00    |  9:  0.00    |  10:  0.00    |  11: 22.63    |  12:  0.00    |  13: 24.12    |  14: 38.04    |  15: 42.01    |  16:  0.00    |  17:  7.72    |  18:  0.00    |  19:  0.00   
[Batch: 0023/2500] mIoU:  7.83  |  FB-IoU: 47.44 |  0:  0.00    |  1:  0.00    |  2: 19.48    |  3: 17.30    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8:  0.00    |  9:  0.00    |  10:  0.00    |  11: 22.63    |  12:  0.00    |  13: 24.12    |  14: 38.04    |  15: 42.01    |  16:  0.00    |  17:  7.72    |  18:  0.00    |  19:  0.00   
[Batch: 0024/2500] mIoU:  8.41  |  FB-IoU: 47.85 |  0:  0.00    |  1:  0.00    |  2: 19.48    |  3: 17.30    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8:  0.00    |  9:  0.00    |  10:  0.00    |  11: 22.63    |  12:  0.00    |  13: 24.12    |  14: 38.04    |  15: 42.01    |  16:  0.00    |  17:  7.72    |  18:  0.00    |  19:  0.00   
[Batch: 0025/2500] mIoU:  9.36  |  FB-IoU: 48.72 |  0:  0.00    |  1:  0.00    |  2: 19.48    |  3: 17.30    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8:  0.00    |  9:  0.00    |  10:  0.00    |  11: 22.63    |  12:  0.00    |  13: 24.12    |  14: 38.04    |  15: 42.01    |  16:  0.00    |  17:  7.72    |  18:  0.00    |  19:  0.00   
[Batch: 0026/2500] mIoU:  8.97  |  FB-IoU: 49.05 |  0:  0.00    |  1:  0.00    |  2: 19.48    |  3: 17.30    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8:  0.00    |  9:  0.00    |  10:  0.00    |  11: 22.63    |  12:  0.00    |  13: 24.12    |  14: 38.04    |  15: 42.01    |  16:  0.00    |  17:  7.72    |  18:  0.00    |  19:  0.00   
[Batch: 0027/2500] mIoU:  9.00  |  FB-IoU: 49.68 |  0:  0.00    |  1:  0.00    |  2: 19.48    |  3: 17.30    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8:  0.00    |  9:  0.00    |  10:  0.00    |  11: 22.63    |  12:  0.00    |  13: 24.12    |  14: 38.04    |  15: 42.01    |  16:  0.00    |  17:  7.72    |  18:  0.00    |  19:  0.00   
[Batch: 0028/2500] mIoU:  9.81  |  FB-IoU: 50.26 |  0:  0.00    |  1:  0.00    |  2: 19.48    |  3: 17.30    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8:  0.00    |  9:  0.00    |  10:  0.00    |  11: 22.63    |  12:  0.00    |  13: 24.12    |  14: 38.04    |  15: 42.01    |  16:  0.00    |  17:  7.72    |  18:  0.00    |  19:  0.00   
[Batch: 0029/2500] mIoU: 10.21  |  FB-IoU: 50.42 |  0:  0.00    |  1:  0.00    |  2: 19.48    |  3: 17.30    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8:  0.00    |  9:  0.00    |  10:  0.00    |  11: 22.63    |  12:  0.00    |  13: 24.12    |  14: 38.04    |  15: 42.01    |  16:  0.00    |  17:  7.72    |  18:  0.00    |  19:  0.00   
[Batch: 0030/2500] mIoU: 11.21  |  FB-IoU: 51.56 |  0:  0.00    |  1:  0.00    |  2: 19.48    |  3: 17.30    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8: 66.08    |  9:  0.00    |  10:  0.00    |  11: 22.63    |  12:  0.00    |  13: 24.12    |  14: 38.04    |  15: 42.01    |  16:  0.00    |  17:  7.72    |  18:  0.00    |  19:  0.00   
[Batch: 0031/2500] mIoU: 11.44  |  FB-IoU: 53.25 |  0:  0.00    |  1:  0.00    |  2: 19.48    |  3: 17.30    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8: 66.08    |  9:  0.00    |  10:  0.00    |  11: 22.63    |  12:  0.00    |  13: 24.12    |  14: 38.04    |  15: 42.01    |  16:  0.00    |  17:  7.72    |  18:  0.00    |  19:  0.00   
[Batch: 0032/2500] mIoU: 12.23  |  FB-IoU: 53.65 |  0:  0.00    |  1:  0.00    |  2: 19.48    |  3: 17.30    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8: 66.08    |  9:  0.00    |  10:  0.00    |  11: 22.63    |  12:  0.00    |  13: 24.12    |  14: 38.04    |  15: 42.01    |  16:  0.00    |  17:  7.72    |  18:  0.00    |  19:  0.00   
[Batch: 0033/2500] mIoU: 12.99  |  FB-IoU: 54.04 |  0:  0.00    |  1: 50.20    |  2: 19.48    |  3: 17.30    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8: 66.08    |  9:  0.00    |  10:  0.00    |  11: 22.63    |  12:  0.00    |  13: 24.12    |  14: 38.04    |  15: 42.01    |  16:  0.00    |  17:  7.72    |  18:  0.00    |  19:  0.00   
[Batch: 0034/2500] mIoU: 12.86  |  FB-IoU: 53.77 |  0:  0.00    |  1: 50.20    |  2: 19.48    |  3: 17.30    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8: 66.08    |  9:  0.00    |  10:  0.00    |  11: 22.63    |  12:  0.00    |  13: 24.12    |  14: 38.04    |  15: 42.01    |  16:  0.00    |  17:  7.72    |  18:  0.00    |  19:  0.00   
[Batch: 0035/2500] mIoU: 13.48  |  FB-IoU: 55.47 |  0:  0.00    |  1: 50.20    |  2: 19.48    |  3: 17.30    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8: 66.08    |  9:  0.00    |  10:  0.00    |  11: 22.63    |  12:  0.00    |  13: 24.12    |  14: 38.04    |  15: 42.01    |  16:  0.00    |  17:  7.72    |  18:  0.00    |  19:  0.00   
[Batch: 0036/2500] mIoU: 14.75  |  FB-IoU: 56.32 |  0:  0.00    |  1: 50.20    |  2: 19.48    |  3: 17.30    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8: 66.08    |  9:  0.00    |  10:  0.00    |  11: 22.63    |  12:  0.00    |  13: 24.12    |  14: 38.04    |  15: 42.01    |  16:  0.00    |  17:  7.72    |  18:  0.00    |  19:  0.00   
[Batch: 0037/2500] mIoU: 14.75  |  FB-IoU: 56.30 |  0:  0.00    |  1: 50.20    |  2: 19.48    |  3: 17.30    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8: 66.08    |  9:  0.00    |  10:  0.00    |  11: 22.63    |  12:  0.00    |  13: 24.12    |  14: 38.04    |  15: 42.01    |  16:  0.00    |  17:  7.72    |  18:  0.00    |  19:  0.00   
[Batch: 0038/2500] mIoU: 15.20  |  FB-IoU: 56.62 |  0:  0.00    |  1: 50.20    |  2: 19.48    |  3: 17.30    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8: 66.08    |  9:  0.00    |  10:  0.00    |  11: 22.63    |  12:  0.00    |  13: 24.12    |  14: 38.04    |  15: 42.01    |  16:  0.00    |  17:  7.72    |  18:  0.00    |  19: 30.09   
[Batch: 0039/2500] mIoU: 15.82  |  FB-IoU: 56.96 |  0:  0.00    |  1: 50.20    |  2: 19.48    |  3: 17.30    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8: 66.08    |  9:  0.00    |  10:  0.00    |  11: 22.63    |  12:  0.00    |  13: 24.12    |  14: 38.04    |  15: 42.01    |  16:  0.00    |  17:  7.72    |  18:  0.00    |  19: 30.09   
