
:=========== Few-shot Seg. with Matcher ===========
|             datapath: datasets                
|            benchmark: lvis                    
|                  bsz: 1                       
|              nworker: 0                       
|                 fold: 0                       
|                nshot: 5                       
|             img_size: 518                     
| use_original_imgsize: False                   
|             log_root: output/lvis_5shot/fold0 
|            visualize: 0                       
|       dinov2_weights: models/dinov2_vitl14_pretrain.pth
|          sam_weights: models/sam_vit_h_4b8939.pth
|      points_per_side: 64                      
|      pred_iou_thresh: 0.88                    
| sel_stability_score_thresh: 0.9                     
| stability_score_thresh: 0.95                    
|           iou_filter: 0.85                    
|       box_nms_thresh: 0.65                    
|         output_layer: 3                       
| dense_multimask_output: 0                       
|       use_dense_mask: 1                       
|     multimask_output: 1                       
|          num_centers: 8                       
|              use_box: False                   
| use_points_or_centers: True                    
|         sample_range: (1, 6)                  
| max_sample_iterations: 64                      
|                alpha: 1.0                     
|                 beta: 0.0                     
|                  exp: 0.0                     
|           emd_filter: 0.0                     
|        purity_filter: 0.02                    
|      coverage_filter: 0.0                     
|     use_score_filter: True                    
| deep_score_norm_filter: 0.1                     
|    deep_score_filter: 0.33                    
| topk_scores_threshold: 0.0                     
|     num_merging_mask: 5                       
:================================================

# available GPUs: 2
using MLP layer as FFN
Pretrained weights found at models/dinov2_vitl14_pretrain.pth and loaded with msg: <All keys matched successfully>
[Batch: 0001/2300] mIoU:  0.50  |  FB-IoU: 66.73 |  0: 34.15    |  1:  0.00    |  2:  0.00    |  3:  0.00    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8:  0.00    |  9:  0.00    |  10:  0.00    |  11:  0.00    |  12:  0.00    |  13:  0.00    |  14:  0.00    |  15:  0.00    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0002/2300] mIoU:  1.43  |  FB-IoU: 77.87 |  0: 34.15    |  1: 63.01    |  2:  0.00    |  3:  0.00    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8:  0.00    |  9:  0.00    |  10:  0.00    |  11:  0.00    |  12:  0.00    |  13:  0.00    |  14:  0.00    |  15:  0.00    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0003/2300] mIoU:  2.41  |  FB-IoU: 78.24 |  0: 34.15    |  1: 63.01    |  2: 66.73    |  3:  0.00    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8:  0.00    |  9:  0.00    |  10:  0.00    |  11:  0.00    |  12:  0.00    |  13:  0.00    |  14:  0.00    |  15:  0.00    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0004/2300] mIoU:  2.60  |  FB-IoU: 70.43 |  0: 34.15    |  1: 63.01    |  2: 66.73    |  3: 12.64    |  4:  0.00    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8:  0.00    |  9:  0.00    |  10:  0.00    |  11:  0.00    |  12:  0.00    |  13:  0.00    |  14:  0.00    |  15:  0.00    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0005/2300] mIoU:  2.79  |  FB-IoU: 65.01 |  0: 34.15    |  1: 63.01    |  2: 66.73    |  3: 12.64    |  4: 12.90    |  5:  0.00    |  6:  0.00    |  7:  0.00    |  8:  0.00    |  9:  0.00    |  10:  0.00    |  11:  0.00    |  12:  0.00    |  13:  0.00    |  14:  0.00    |  15:  0.00    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0006/2300] mIoU:  4.03  |  FB-IoU: 65.88 |  0: 34.15    |  1: 63.01    |  2: 66.73    |  3: 12.64    |  4: 12.90    |  5: 84.67    |  6:  0.00    |  7:  0.00    |  8:  0.00    |  9:  0.00    |  10:  0.00    |  11:  0.00    |  12:  0.00    |  13:  0.00    |  14:  0.00    |  15:  0.00    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0007/2300] mIoU:  4.80  |  FB-IoU: 66.10 |  0: 34.15    |  1: 63.01    |  2: 66.73    |  3: 12.64    |  4: 12.90    |  5: 84.67    |  6: 52.62    |  7:  0.00    |  8:  0.00    |  9:  0.00    |  10:  0.00    |  11:  0.00    |  12:  0.00    |  13:  0.00    |  14:  0.00    |  15:  0.00    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0008/2300] mIoU:  5.90  |  FB-IoU: 70.31 |  0: 34.15    |  1: 63.01    |  2: 66.73    |  3: 12.64    |  4: 12.90    |  5: 84.67    |  6: 52.62    |  7: 74.25    |  8:  0.00    |  9:  0.00    |  10:  0.00    |  11:  0.00    |  12:  0.00    |  13:  0.00    |  14:  0.00    |  15:  0.00    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0009/2300] mIoU:  6.22  |  FB-IoU: 60.19 |  0: 34.15    |  1: 63.01    |  2: 66.73    |  3: 12.64    |  4: 12.90    |  5: 84.67    |  6: 52.62    |  7: 74.25    |  8: 21.73    |  9:  0.00    |  10:  0.00    |  11:  0.00    |  12:  0.00    |  13:  0.00    |  14:  0.00    |  15:  0.00    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0010/2300] mIoU:  7.40  |  FB-IoU: 60.65 |  0: 34.15    |  1: 63.01    |  2: 66.73    |  3: 12.64    |  4: 12.90    |  5: 84.67    |  6: 52.62    |  7: 74.25    |  8: 21.73    |  9: 80.61    |  10:  0.00    |  11:  0.00    |  12:  0.00    |  13:  0.00    |  14:  0.00    |  15:  0.00    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0011/2300] mIoU:  8.72  |  FB-IoU: 62.28 |  0: 34.15    |  1: 63.01    |  2: 66.73    |  3: 12.64    |  4: 12.90    |  5: 84.67    |  6: 52.62    |  7: 74.25    |  8: 21.73    |  9: 80.61    |  10: 89.66    |  11:  0.00    |  12:  0.00    |  13:  0.00    |  14:  0.00    |  15:  0.00    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0012/2300] mIoU:  9.77  |  FB-IoU: 66.64 |  0: 34.15    |  1: 63.01    |  2: 66.73    |  3: 12.64    |  4: 12.90    |  5: 84.67    |  6: 52.62    |  7: 74.25    |  8: 21.73    |  9: 80.61    |  10: 89.66    |  11: 71.49    |  12:  0.00    |  13:  0.00    |  14:  0.00    |  15:  0.00    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0013/2300] mIoU:  9.77  |  FB-IoU: 62.84 |  0: 34.15    |  1: 63.01    |  2: 66.73    |  3: 12.64    |  4: 12.90    |  5: 84.67    |  6: 52.62    |  7: 74.25    |  8: 21.73    |  9: 80.61    |  10: 89.66    |  11: 71.49    |  12:  0.00    |  13:  0.00    |  14:  0.00    |  15:  0.00    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0014/2300] mIoU: 10.47  |  FB-IoU: 63.08 |  0: 34.15    |  1: 63.01    |  2: 66.73    |  3: 12.64    |  4: 12.90    |  5: 84.67    |  6: 52.62    |  7: 74.25    |  8: 21.73    |  9: 80.61    |  10: 89.66    |  11: 71.49    |  12:  0.00    |  13: 47.17    |  14:  0.00    |  15:  0.00    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0015/2300] mIoU: 11.05  |  FB-IoU: 63.40 |  0: 34.15    |  1: 63.01    |  2: 66.73    |  3: 12.64    |  4: 12.90    |  5: 84.67    |  6: 52.62    |  7: 74.25    |  8: 21.73    |  9: 80.61    |  10: 89.66    |  11: 71.49    |  12:  0.00    |  13: 47.17    |  14: 39.80    |  15:  0.00    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0016/2300] mIoU: 12.26  |  FB-IoU: 63.62 |  0: 34.15    |  1: 63.01    |  2: 66.73    |  3: 12.64    |  4: 12.90    |  5: 84.67    |  6: 52.62    |  7: 74.25    |  8: 21.73    |  9: 80.61    |  10: 89.66    |  11: 71.49    |  12:  0.00    |  13: 47.17    |  14: 39.80    |  15: 82.27    |  16:  0.00    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0017/2300] mIoU: 13.70  |  FB-IoU: 65.64 |  0: 34.15    |  1: 63.01    |  2: 66.73    |  3: 12.64    |  4: 12.90    |  5: 84.67    |  6: 52.62    |  7: 74.25    |  8: 21.73    |  9: 80.61    |  10: 89.66    |  11: 71.49    |  12:  0.00    |  13: 47.17    |  14: 39.80    |  15: 82.27    |  16: 97.72    |  17:  0.00    |  18:  0.00    |  19:  0.00   
[Batch: 0018/2300] mIoU: 14.18  |  FB-IoU: 65.73 |  0: 34.15    |  1: 63.01    |  2: 66.73    |  3: 12.64    |  4: 12.90    |  5: 84.67    |  6: 52.62    |  7: 74.25    |  8: 21.73    |  9: 80.61    |  10: 89.66    |  11: 71.49    |  12:  0.00    |  13: 47.17    |  14: 39.80    |  15: 82.27    |  16: 97.72    |  17: 33.11    |  18:  0.00    |  19:  0.00   
[Batch: 0019/2300] mIoU: 14.85  |  FB-IoU: 65.87 |  0: 34.15    |  1: 63.01    |  2: 66.73    |  3: 12.64    |  4: 12.90    |  5: 84.67    |  6: 52.62    |  7: 74.25    |  8: 21.73    |  9: 80.61    |  10: 89.66    |  11: 71.49    |  12:  0.00    |  13: 47.17    |  14: 39.80    |  15: 82.27    |  16: 97.72    |  17: 33.11    |  18: 45.07    |  19:  0.00   
[Batch: 0020/2300] mIoU: 16.20  |  FB-IoU: 66.30 |  0: 34.15    |  1: 63.01    |  2: 66.73    |  3: 12.64    |  4: 12.90    |  5: 84.67    |  6: 52.62    |  7: 74.25    |  8: 21.73    |  9: 80.61    |  10: 89.66    |  11: 71.49    |  12:  0.00    |  13: 47.17    |  14: 39.80    |  15: 82.27    |  16: 97.72    |  17: 33.11    |  18: 45.07    |  19: 91.94   
[Batch: 0021/2300] mIoU: 16.20  |  FB-IoU: 65.05 |  0: 34.15    |  1: 63.01    |  2: 66.73    |  3: 12.64    |  4: 12.90    |  5: 84.67    |  6: 52.62    |  7: 74.25    |  8: 21.73    |  9: 80.61    |  10: 89.66    |  11: 71.49    |  12:  0.00    |  13: 47.17    |  14: 39.80    |  15: 82.27    |  16: 97.72    |  17: 33.11    |  18: 45.07    |  19: 91.94   
[Batch: 0022/2300] mIoU: 16.20  |  FB-IoU: 64.70 |  0: 34.15    |  1: 63.01    |  2: 66.73    |  3: 12.64    |  4: 12.90    |  5: 84.67    |  6: 52.62    |  7: 74.25    |  8: 21.73    |  9: 80.61    |  10: 89.66    |  11: 71.49    |  12:  0.00    |  13: 47.17    |  14: 39.80    |  15: 82.27    |  16: 97.72    |  17: 33.11    |  18: 45.07    |  19: 91.94   
[Batch: 0023/2300] mIoU: 17.54  |  FB-IoU: 65.40 |  0: 34.15    |  1: 63.01    |  2: 66.73    |  3: 12.64    |  4: 12.90    |  5: 84.67    |  6: 52.62    |  7: 74.25    |  8: 21.73    |  9: 80.61    |  10: 89.66    |  11: 71.49    |  12:  0.00    |  13: 47.17    |  14: 39.80    |  15: 82.27    |  16: 97.72    |  17: 33.11    |  18: 45.07    |  19: 91.94   
