
:=========== Few-shot Seg. with Matcher ===========
|             datapath: datasets                
|            benchmark: pascal_part             
|                  bsz: 1                       
|              nworker: 0                       
|                 fold: 1                       
|                nshot: 1                       
|             img_size: 518                     
| use_original_imgsize: False                   
|             log_root: output/pascal/fold1     
|            visualize: 0                       
|       dinov2_weights: models/dinov2_vitl14_pretrain.pth
|          sam_weights: models/sam_vit_h_4b8939.pth
|      points_per_side: 64                      
|      pred_iou_thresh: 0.88                    
| sel_stability_score_thresh: 0.0                     
| stability_score_thresh: 0.95                    
|           iou_filter: 0.0                     
|       box_nms_thresh: 1.0                     
|         output_layer: 3                       
| dense_multimask_output: 0                       
|       use_dense_mask: 0                       
|     multimask_output: 0                       
|          num_centers: 8                       
|              use_box: True                    
| use_points_or_centers: True                    
|         sample_range: (3, 6)                  
| max_sample_iterations: 128                     
|                alpha: 0.5                     
|                 beta: 0.5                     
|                  exp: 0.0                     
|           emd_filter: 0.0                     
|        purity_filter: 0.0                     
|      coverage_filter: 0.3                     
|     use_score_filter: False                   
| deep_score_norm_filter: 0.1                     
|    deep_score_filter: 0.33                    
| topk_scores_threshold: 0.7                     
|     num_merging_mask: 5                       
:================================================

# available GPUs: 2
using MLP layer as FFN
Pretrained weights found at models/dinov2_vitl14_pretrain.pth and loaded with msg: <All keys matched successfully>
[Batch: 0035/0959] mIoU: 51.83  |  FB-IoU: 51.11 |  0: 61.19    |  1: 68.61    |  2: 32.86    |  3: 44.64   
[Batch: 0036/0959] mIoU: 53.18  |  FB-IoU: 51.69 |  0: 61.19    |  1: 68.61    |  2: 32.86    |  3: 50.07   
[Batch: 0037/0959] mIoU: 53.22  |  FB-IoU: 51.66 |  0: 61.34    |  1: 68.61    |  2: 32.86    |  3: 50.07   
[Batch: 0038/0959] mIoU: 52.74  |  FB-IoU: 51.59 |  0: 61.34    |  1: 66.68    |  2: 32.86    |  3: 50.07   
[Batch: 0039/0959] mIoU: 51.71  |  FB-IoU: 49.96 |  0: 61.34    |  1: 66.68    |  2: 28.76    |  3: 50.07   
[Batch: 0040/0959] mIoU: 51.68  |  FB-IoU: 50.23 |  0: 61.34    |  1: 66.68    |  2: 28.76    |  3: 49.96   
[Batch: 0041/0959] mIoU: 51.55  |  FB-IoU: 50.11 |  0: 60.81    |  1: 66.68    |  2: 28.76    |  3: 49.96   
[Batch: 0042/0959] mIoU: 50.85  |  FB-IoU: 49.94 |  0: 60.81    |  1: 63.88    |  2: 28.76    |  3: 49.96   
[Batch: 0043/0959] mIoU: 51.30  |  FB-IoU: 50.84 |  0: 60.81    |  1: 63.88    |  2: 30.57    |  3: 49.96   
[Batch: 0044/0959] mIoU: 51.87  |  FB-IoU: 50.87 |  0: 60.81    |  1: 63.88    |  2: 30.57    |  3: 52.20   
[Batch: 0045/0959] mIoU: 52.40  |  FB-IoU: 51.51 |  0: 62.95    |  1: 63.88    |  2: 30.57    |  3: 52.20   
[Batch: 0046/0959] mIoU: 52.46  |  FB-IoU: 51.39 |  0: 62.95    |  1: 64.11    |  2: 30.57    |  3: 52.20   
[Batch: 0047/0959] mIoU: 52.78  |  FB-IoU: 51.75 |  0: 62.95    |  1: 64.11    |  2: 31.87    |  3: 52.20   
[Batch: 0048/0959] mIoU: 52.73  |  FB-IoU: 51.71 |  0: 62.95    |  1: 64.11    |  2: 31.87    |  3: 52.01   
[Batch: 0049/0959] mIoU: 53.00  |  FB-IoU: 51.99 |  0: 64.03    |  1: 64.11    |  2: 31.87    |  3: 52.01   
[Batch: 0050/0959] mIoU: 52.57  |  FB-IoU: 51.69 |  0: 64.03    |  1: 62.38    |  2: 31.87    |  3: 52.01   
[Batch: 0051/0959] mIoU: 52.91  |  FB-IoU: 51.33 |  0: 64.03    |  1: 62.38    |  2: 33.22    |  3: 52.01   
[Batch: 0052/0959] mIoU: 53.55  |  FB-IoU: 51.99 |  0: 64.03    |  1: 62.38    |  2: 33.22    |  3: 54.57   
[Batch: 0053/0959] mIoU: 53.72  |  FB-IoU: 52.00 |  0: 64.73    |  1: 62.38    |  2: 33.22    |  3: 54.57   
[Batch: 0054/0959] mIoU: 54.09  |  FB-IoU: 52.53 |  0: 64.73    |  1: 63.84    |  2: 33.22    |  3: 54.57   
[Batch: 0055/0959] mIoU: 54.18  |  FB-IoU: 52.94 |  0: 64.73    |  1: 63.84    |  2: 33.58    |  3: 54.57   
[Batch: 0056/0959] mIoU: 53.97  |  FB-IoU: 52.67 |  0: 64.73    |  1: 63.84    |  2: 33.58    |  3: 53.74   
[Batch: 0057/0959] mIoU: 54.40  |  FB-IoU: 53.15 |  0: 66.45    |  1: 63.84    |  2: 33.58    |  3: 53.74   
[Batch: 0058/0959] mIoU: 54.36  |  FB-IoU: 53.09 |  0: 66.45    |  1: 63.69    |  2: 33.58    |  3: 53.74   
[Batch: 0059/0959] mIoU: 53.74  |  FB-IoU: 52.16 |  0: 66.45    |  1: 63.69    |  2: 31.11    |  3: 53.74   
[Batch: 0060/0959] mIoU: 53.87  |  FB-IoU: 52.13 |  0: 66.45    |  1: 63.69    |  2: 31.11    |  3: 54.23   
[Batch: 0061/0959] mIoU: 53.88  |  FB-IoU: 52.23 |  0: 66.48    |  1: 63.69    |  2: 31.11    |  3: 54.23   
[Batch: 0062/0959] mIoU: 54.13  |  FB-IoU: 52.79 |  0: 66.48    |  1: 64.70    |  2: 31.11    |  3: 54.23   
[Batch: 0063/0959] mIoU: 53.73  |  FB-IoU: 52.01 |  0: 66.48    |  1: 64.70    |  2: 29.53    |  3: 54.23   
[Batch: 0064/0959] mIoU: 53.90  |  FB-IoU: 52.14 |  0: 66.48    |  1: 64.70    |  2: 29.53    |  3: 54.87   
[Batch: 0065/0959] mIoU: 54.32  |  FB-IoU: 52.53 |  0: 68.16    |  1: 64.70    |  2: 29.53    |  3: 54.87   
[Batch: 0066/0959] mIoU: 54.46  |  FB-IoU: 53.07 |  0: 68.16    |  1: 65.25    |  2: 29.53    |  3: 54.87   
[Batch: 0067/0959] mIoU: 54.95  |  FB-IoU: 53.48 |  0: 68.16    |  1: 65.25    |  2: 31.51    |  3: 54.87   
[Batch: 0068/0959] mIoU: 55.23  |  FB-IoU: 53.76 |  0: 68.16    |  1: 65.25    |  2: 31.51    |  3: 56.00   
[Batch: 0069/0959] mIoU: 55.32  |  FB-IoU: 53.86 |  0: 68.52    |  1: 65.25    |  2: 31.51    |  3: 56.00   
[Batch: 0070/0959] mIoU: 55.40  |  FB-IoU: 53.94 |  0: 68.52    |  1: 65.59    |  2: 31.51    |  3: 56.00   
[Batch: 0071/0959] mIoU: 55.27  |  FB-IoU: 54.21 |  0: 68.52    |  1: 65.59    |  2: 30.97    |  3: 56.00   
[Batch: 0072/0959] mIoU: 55.81  |  FB-IoU: 54.65 |  0: 68.52    |  1: 65.59    |  2: 30.97    |  3: 58.16   
[Batch: 0073/0959] mIoU: 55.69  |  FB-IoU: 54.46 |  0: 68.06    |  1: 65.59    |  2: 30.97    |  3: 58.16   
[Batch: 0074/0959] mIoU: 55.59  |  FB-IoU: 54.41 |  0: 68.06    |  1: 65.17    |  2: 30.97    |  3: 58.16   
[Batch: 0075/0959] mIoU: 55.91  |  FB-IoU: 54.87 |  0: 68.06    |  1: 65.17    |  2: 32.25    |  3: 58.16   
[Batch: 0076/0959] mIoU: 56.13  |  FB-IoU: 55.13 |  0: 68.06    |  1: 65.17    |  2: 32.25    |  3: 59.05   
