
:=========== Few-shot Seg. with Matcher ===========
|             datapath: datasets                
|            benchmark: pascal_part             
|                  bsz: 1                       
|              nworker: 0                       
|                 fold: 3                       
|                nshot: 1                       
|             img_size: 518                     
| use_original_imgsize: False                   
|             log_root: output/pascal/fold3     
|            visualize: 0                       
|       dinov2_weights: models/dinov2_vitl14_pretrain.pth
|          sam_weights: models/sam_vit_h_4b8939.pth
|      points_per_side: 64                      
|      pred_iou_thresh: 0.88                    
| sel_stability_score_thresh: 0.0                     
| stability_score_thresh: 0.95                    
|           iou_filter: 0.0                     
|       box_nms_thresh: 1.0                     
|         output_layer: 3                       
| dense_multimask_output: 0                       
|       use_dense_mask: 0                       
|     multimask_output: 0                       
|          num_centers: 8                       
|              use_box: True                    
| use_points_or_centers: True                    
|         sample_range: (3, 6)                  
| max_sample_iterations: 128                     
|                alpha: 0.5                     
|                 beta: 0.5                     
|                  exp: 0.0                     
|           emd_filter: 0.0                     
|        purity_filter: 0.0                     
|      coverage_filter: 0.3                     
|     use_score_filter: False                   
| deep_score_norm_filter: 0.1                     
|    deep_score_filter: 0.33                    
| topk_scores_threshold: 0.7                     
|     num_merging_mask: 5                       
:================================================

# available GPUs: 2
using MLP layer as FFN
Pretrained weights found at models/dinov2_vitl14_pretrain.pth and loaded with msg: <All keys matched successfully>
[Batch: 0015/2500] mIoU: 49.20  |  FB-IoU: 71.86 |  0: 65.61    |  1:  0.00    |  2: 15.50    |  3: 29.92    |  4: 98.08    |  5:  5.97    |  6: 96.54    |  7: 16.36    |  8: 43.84    |  9: 60.34    |  10: 94.85    |  11: 70.10    |  12: 55.17    |  13: 45.89    |  14: 89.02    |  15:  0.00   
[Batch: 0016/2500] mIoU: 54.84  |  FB-IoU: 73.23 |  0: 65.61    |  1:  0.00    |  2: 15.50    |  3: 29.92    |  4: 98.08    |  5:  5.97    |  6: 96.54    |  7: 16.36    |  8: 43.84    |  9: 60.34    |  10: 94.85    |  11: 70.10    |  12: 55.17    |  13: 45.89    |  14: 89.02    |  15: 90.28   
[Batch: 0017/2500] mIoU: 54.74  |  FB-IoU: 73.42 |  0: 64.05    |  1:  0.00    |  2: 15.50    |  3: 29.92    |  4: 98.08    |  5:  5.97    |  6: 96.54    |  7: 16.36    |  8: 43.84    |  9: 60.34    |  10: 94.85    |  11: 70.10    |  12: 55.17    |  13: 45.89    |  14: 89.02    |  15: 90.28   
[Batch: 0018/2500] mIoU: 55.21  |  FB-IoU: 72.27 |  0: 64.05    |  1:  7.52    |  2: 15.50    |  3: 29.92    |  4: 98.08    |  5:  5.97    |  6: 96.54    |  7: 16.36    |  8: 43.84    |  9: 60.34    |  10: 94.85    |  11: 70.10    |  12: 55.17    |  13: 45.89    |  14: 89.02    |  15: 90.28   
[Batch: 0019/2500] mIoU: 55.51  |  FB-IoU: 72.85 |  0: 64.05    |  1:  7.52    |  2: 20.28    |  3: 29.92    |  4: 98.08    |  5:  5.97    |  6: 96.54    |  7: 16.36    |  8: 43.84    |  9: 60.34    |  10: 94.85    |  11: 70.10    |  12: 55.17    |  13: 45.89    |  14: 89.02    |  15: 90.28   
[Batch: 0020/2500] mIoU: 55.57  |  FB-IoU: 73.36 |  0: 64.05    |  1:  7.52    |  2: 20.28    |  3: 30.92    |  4: 98.08    |  5:  5.97    |  6: 96.54    |  7: 16.36    |  8: 43.84    |  9: 60.34    |  10: 94.85    |  11: 70.10    |  12: 55.17    |  13: 45.89    |  14: 89.02    |  15: 90.28   
[Batch: 0021/2500] mIoU: 54.66  |  FB-IoU: 73.27 |  0: 64.05    |  1:  7.52    |  2: 20.28    |  3: 30.92    |  4: 83.37    |  5:  5.97    |  6: 96.54    |  7: 16.36    |  8: 43.84    |  9: 60.34    |  10: 94.85    |  11: 70.10    |  12: 55.17    |  13: 45.89    |  14: 89.02    |  15: 90.28   
[Batch: 0022/2500] mIoU: 54.75  |  FB-IoU: 73.00 |  0: 64.05    |  1:  7.52    |  2: 20.28    |  3: 30.92    |  4: 83.37    |  5:  7.49    |  6: 96.54    |  7: 16.36    |  8: 43.84    |  9: 60.34    |  10: 94.85    |  11: 70.10    |  12: 55.17    |  13: 45.89    |  14: 89.02    |  15: 90.28   
[Batch: 0023/2500] mIoU: 54.73  |  FB-IoU: 74.55 |  0: 64.05    |  1:  7.52    |  2: 20.28    |  3: 30.92    |  4: 83.37    |  5:  7.49    |  6: 96.15    |  7: 16.36    |  8: 43.84    |  9: 60.34    |  10: 94.85    |  11: 70.10    |  12: 55.17    |  13: 45.89    |  14: 89.02    |  15: 90.28   
[Batch: 0024/2500] mIoU: 55.41  |  FB-IoU: 74.95 |  0: 64.05    |  1:  7.52    |  2: 20.28    |  3: 30.92    |  4: 83.37    |  5:  7.49    |  6: 96.15    |  7: 27.25    |  8: 43.84    |  9: 60.34    |  10: 94.85    |  11: 70.10    |  12: 55.17    |  13: 45.89    |  14: 89.02    |  15: 90.28   
